levels,pairspace_dim,hamiltonian_nnz,g,eta,exact_pairspace_energy,source_pair_norm,bcs_pair_norm,relative_source_profile_error
6,64,927,0.7,0.02,-10.099422168556046,0.4036395883314797,1.0941208907393405,0.6333215744960183
6,64,927,0.7,0.05,-10.179498815940425,0.650513976745395,1.0941208907393405,0.41040740946443993
6,64,927,0.7,0.1,-10.356041007458884,0.7843249420498323,1.0941208907393405,0.29009179315077444
6,64,927,0.7,0.2,-10.768483189118434,0.8991200757395029,1.0941208907393405,0.18743530388763854
8,256,5887,0.7,0.02,-15.576098838650733,0.7245943939459891,1.3323821187275866,0.45743849180932805
8,256,5887,0.7,0.05,-15.715245103820342,0.8872536732324919,1.3323821187275866,0.3360180962611645
8,256,5887,0.7,0.1,-15.983312963421502,1.0022402815846307,1.3323821187275866,0.2503717650205288
8,256,5887,0.7,0.2,-16.586526468088895,1.1209560660412219,1.3323821187275866,0.1624035918354601
10,1024,34303,0.7,0.02,-22.5148958209781,0.909994446269089,1.5242100650654211,0.40358292445352467
10,1024,34303,0.7,0.05,-22.702145328376808,1.0495610051244313,1.5242100650654211,0.3122563766436839
10,1024,34303,0.7,0.1,-23.055862562247455,1.177702129455245,1.5242100650654211,0.22853009899536775
10,1024,34303,0.7,0.2,-23.845410412454058,1.3038368281063566,1.5242100650654211,0.14638284324148174
12,4096,188415,0.7,0.02,-30.88294675306692,1.0378538217310815,1.689666061215329,0.38606763107368813
12,4096,188415,0.7,0.05,-31.115689617134233,1.1893681721278717,1.689666061215329,0.2965232767596186
12,4096,188415,0.7,0.1,-31.554835874228587,1.3321439837275535,1.689666061215329,0.21222342091585447
12,4096,188415,0.7,0.2,-32.52952384578376,1.4629836715903077,1.689666061215329,0.13513144545490238
14,16384,991231,0.7,0.02,-40.667262281198724,1.1463331546238575,1.8377525567374229,0.37639659942695824
14,16384,991231,0.7,0.05,-40.94546869613203,1.3176748242159908,1.8377525567374229,0.2832395489234573
14,16384,991231,0.7,0.1,-41.470702627117305,1.4724074673829572,1.8377525567374229,0.1991655665824264
14,16384,991231,0.7,0.2,-42.63022405636944,1.6060155403381229,1.8377525567374229,0.12666948305287004
16,65536,5046271,0.7,0.02,-51.86179005293997,1.246187207494269,1.9732856685542854,0.36856898222447776
16,65536,5046271,0.7,0.05,-52.1860334871034,1.4380262645040194,1.9732856685542854,0.27140142336579726
16,65536,5046271,0.7,0.1,-52.79811390830346,1.602032689202618,1.9732856685542854,0.18836726189234596
16,65536,5046271,0.7,0.2,-54.14252838311464,1.737266140371195,1.9732856685542854,0.11996524163007807
